	Is ad		Related ad domain	Suspect domain	Ad blocked	Suspect blocked	Ad first appear	Suspect first appear	Related reasons	Similar paths			
187	v	12	sxtdtlqg.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-04-18	2020-05-08	dns	cert			
188	v	13	ahsipjna.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-04-18	2020-05-08	dns	cert			
189	v	14	cfdfdpsw.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-05-01	2020-05-08	dns	cert			
190	v	15	bsbygnkl.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-08-29	2020-05-08	dns	cert			
191	v	16	nlgufbrn.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-09-16	2020-05-08	dns	cert			
192	v	17	vgjbbtaf.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-08-13	2020-05-08	dns	cert			
193	v	18	kmnjnrui.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-04-28	2020-05-08	dns	cert			
194	v	19	qacuwaah.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-06-05	2020-05-08	dns	cert			
195	v	20	crgjgtmv.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-08-20	2020-05-08	dns	cert			
196	v	21	cycrbrhn.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-06-18	2020-05-08	dns	cert			
197	v	22	wxtmfjls.podfdch.com	qbcsrycx.podfdch.com	2020-09-06	2020-09-06	2020-11-19	2020-05-08	dns	cert			
